"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAYMOND","EQ","06-May-2020","        220.55","        224.00","        231.55","        218.50","        231.55","        231.55","        227.57","     160658","            36561273.05","       2941","     110879","         69.02"
"RAYMOND","EQ","07-May-2020","        231.55","        243.10","        243.10","        235.00","        237.55","        237.70","        240.29","     374018","            89871329.50","       6568","     145148","         38.81"
"RAYMOND","EQ","08-May-2020","        237.70","        237.00","        239.90","        225.85","        225.85","        226.20","        231.82","     219696","            50930756.00","       6797","     150383","         68.45"
"RAYMOND","EQ","11-May-2020","        226.20","        229.00","        232.00","        224.00","        225.00","        224.85","        227.21","     200200","            45487941.75","       4568","     101790","         50.84"
"RAYMOND","EQ","12-May-2020","        224.85","        225.95","        225.95","        220.05","        225.00","        224.45","        223.59","     137760","            30801167.85","       3900","      82711","         60.04"
"RAYMOND","EQ","13-May-2020","        224.45","        235.10","        235.65","        223.05","        225.00","        224.95","        226.13","     643405","           145491791.25","       9104","     430199","         66.86"
"RAYMOND","EQ","14-May-2020","        224.95","        224.00","        225.00","        221.20","        222.90","        222.75","        223.74","     172610","            38619167.50","       4491","     103474","         59.95"
"RAYMOND","EQ","15-May-2020","        222.75","        221.50","        225.00","        219.95","        221.20","        221.30","        221.87","     192585","            42728478.15","       4709","     115763","         60.11"
"RAYMOND","EQ","18-May-2020","        221.30","        222.00","        223.95","        212.10","        214.95","        215.50","        216.68","     188130","            40763569.45","       5217","     112459","         59.78"
"RAYMOND","EQ","19-May-2020","        215.50","        219.45","        219.95","        215.00","        216.55","        216.70","        216.37","     195079","            42209864.15","       3962","      89781","         46.02"
"RAYMOND","EQ","20-May-2020","        216.70","        217.00","        223.00","        215.10","        222.50","        221.55","        220.00","     150081","            33017245.20","       3486","      87622","         58.38"
"RAYMOND","EQ","21-May-2020","        221.55","        224.00","        225.05","        218.00","        220.00","        220.10","        222.19","     218975","            48654945.70","       4921","     119625","         54.63"
"RAYMOND","EQ","22-May-2020","        220.10","        227.45","        227.45","        218.05","        222.00","        221.30","        221.95","     148739","            33012325.65","       3378","      75239","         50.58"
"RAYMOND","EQ","26-May-2020","        221.30","        223.70","        223.70","        217.50","        218.50","        219.05","        219.83","     113640","            24981117.75","       2977","      62048","         54.60"
"RAYMOND","EQ","27-May-2020","        219.05","        220.00","        221.00","        216.05","        217.00","        217.10","        217.69","     162684","            35414703.65","       3803","     120106","         73.83"
"RAYMOND","EQ","28-May-2020","        217.10","        218.85","        225.20","        217.00","        222.95","        223.90","        221.28","     603704","           133587506.90","       7979","     213723","         35.40"
"RAYMOND","EQ","29-May-2020","        223.90","        224.00","        235.05","        220.80","        222.25","        224.15","        228.02","    1222131","           278666494.90","      16779","     640496","         52.41"
"RAYMOND","EQ","01-Jun-2020","        224.15","        229.20","        234.00","        226.00","        226.00","        227.25","        229.55","    1141008","           261919535.50","      19554","     674353","         59.10"
"RAYMOND","EQ","02-Jun-2020","        227.25","        229.00","        238.60","        227.55","        238.60","        238.60","        236.18","    1171218","           276617140.00","      11157","     701194","         59.87"
"RAYMOND","EQ","03-Jun-2020","        238.60","        250.50","        250.50","        243.05","        250.50","        250.50","        250.05","    1194780","           298754817.15","       7595","     706286","         59.11"
"RAYMOND","EQ","04-Jun-2020","        250.50","        257.00","        263.00","        253.20","        263.00","        263.00","        261.62","    2285288","           597881061.70","      22395","    1060780","         46.42"
"RAYMOND","EQ","05-Jun-2020","        263.00","        276.90","        315.60","        276.20","        315.60","        313.35","        298.86","    5228935","          1562736092.10","      73489","    1293312","         24.73"
"RAYMOND","EQ","08-Jun-2020","        313.35","        329.00","        360.90","        321.60","        333.60","        331.00","        339.78","    5075675","          1724605723.95","      78000","    1690769","         33.31"
"RAYMOND","EQ","09-Jun-2020","        331.00","        335.00","        335.00","        302.00","        305.00","        304.10","        311.48","    1814401","           565155103.30","      34535","     918104","         50.60"
"RAYMOND","EQ","10-Jun-2020","        304.10","        306.00","        314.00","        288.00","        293.70","        290.95","        294.10","    1495339","           439782884.70","      29643","     822658","         55.01"
"RAYMOND","EQ","11-Jun-2020","        290.95","        294.10","        306.00","        281.10","        285.40","        285.40","        293.43","    1783063","           523201071.15","      32024","     722844","         40.54"
"RAYMOND","EQ","12-Jun-2020","        285.40","        263.00","        293.95","        263.00","        290.00","        290.65","        280.77","    1128612","           316875622.15","      22423","     380408","         33.71"
